逻辑编号,等级,报警区域A-ZONE,防护区P-ZONE,触发条件(与逻辑),确认窗口,动作序号,动作对象,动作类型,动作来源,反馈信号,超时处理,联动分区L-ZONE,规范依据/备注
LNK-001,L1,FS-FL-01(示例:闪速炉1F北侧),PZ-FL-01,感温探测器 T-FL01-01 单点报警,"按设计(建议派人核实,短超时)",1,本区声光警报器,启动,联动控制器,声光应答,≤设计值报故障,本报警区,范围以设计为准
LNK-001,L1,FS-FL-01,PZ-FL-01,同上,-,2,电梯迫降首落(如设计定为L1),迫降,联动控制器,首落+开门反馈,超时报警,全厂电梯,GB50116;也可设计为L2
LNK-001,L1,FS-FL-01,PZ-FL-01,同上,-,3,控制室弹窗/电话核警/生成事件号,提示,平台只读,值班员签收,超时升级呼叫主管,-,人工核实中
LNK-002,L2,FS-FL-01,PZ-FL-01,T-FL01-01 与 T-FL01-02 同区两信号;或任一+手报;或人工确认,水系统无中止窗口,1,雨淋阀 DV-FL01 电磁阀,开阀,联动控制器(路径②),阀位开+压力动作,"≤设计值报故障,转人工开阀",PZ-FL-01,GB50084/GB50116 与逻辑防误喷
LNK-002,L2,FS-FL-01,PZ-FL-01,同上,-,2,消防泵 1#,启动,联动控制器;压力开关硬线直启(路径①),运行+出口压力,1#失败自动启2#,-,GB50974;泵不可自动停
LNK-002,L2,FS-FL-01,PZ-FL-01,同上,-,3,应急广播/声光警报,启动,联动控制器,应答,超时报故障,按疏散分区,
LNK-002,L2,FS-FL-01,PZ-FL-01,同上,-,4,非消防电源 A类回路,切除,联动控制器(分励脱扣),断路器分位反馈,超时报故障,见电源切除清单,电梯迫降完成后执行
LNK-002,L2,FS-FL-01,PZ-FL-01,同上,-,5,正压送风/排烟机、排烟阀,启动/开启,联动控制器,运行/阀位,超时报故障,按防烟分区,GB50116
LNK-002,L2,FS-FL-01,PZ-FL-01,同上,-,6,常开防火门释放/防火卷帘一步降,释放,联动控制器,门/帘位反馈,超时报故障,本区,
LNK-002,L2,FS-FL-01,PZ-FL-01,同上,-,7,工艺介质紧急切断(燃油/氧气/燃气),发请求信号,"平台只发请求,ESD执行",ESD回读,-,按工艺区,"消防不越权,双方留记录"
LNK-002,L2,FS-FL-01,PZ-FL-01,同上,-,8,119报警,人工,值班员电话直拨,-,-,-,系统不能替代人工报警
LNK-003,L4,FS-FL-01,PZ-FL-01,现场确认熄灭+有权限人员手动停泵,-,1,消防泵停泵/雨淋阀关闭,停/关,仅人工授权,停止/关阀反馈,-,-,严禁自动停泵
LNK-003,L4,FS-FL-01,PZ-FL-01,同上,-,2,非消防电源恢复,送电,单独审批后人工恢复,断路器合位反馈,-,见电源切除清单,送电前现场检查
